Story,OutputCase,CaseType,StepType,StepNumber,Direction,Drift,Label,X,Y,Z
Story16,ED1_DYN_09_YP,Combination,Min,None,X,0.000263,53,25.115,13.821,42.4
Story16,ED1_DYN_09_YP,Combination,Min,None,Y,0.002007,2,0,6.446,42.4
Story16,ED1_DYN_09_YN,Combination,Max,None,X,0.000231,53,25.115,13.821,42.4
Story16,ED1_DYN_09_YN,Combination,Max,None,Y,0.001782,2,0,6.446,42.4
Story16,ED1_DYN_09_YN,Combination,Min,None,X,0.000263,53,25.115,13.821,42.4
Story16,ED1_DYN_09_YN,Combination,Min,None,Y,0.002007,2,0,6.446,42.4
Story15,Dead,LinStatic,None,None,Y,9.8E-05,2,0,6.446,39.8
Story15,MODAL,LinModEigen,Mode,1,X,4.827E-07,15,27.834,0,39.8
Story15,MODAL,LinModEigen,Mode,2,Y,1E-06,2,0,6.446,39.8
Story15,MODAL,LinModEigen,Mode,3,X,4.652E-07,53,25.115,13.821,39.8
Story15,MODAL,LinModEigen,Mode,3,Y,1E-06,22,38.505,13.821,39.8
Story15,MODAL,LinModEigen,Mode,4,X,1E-06,15,27.834,0,39.8
Story15,MODAL,LinModEigen,Mode,5,Y,1E-06,2,0,6.446,39.8
Story15,MODAL,LinModEigen,Mode,6,X,1E-06,53,25.115,13.821,39.8
Story15,MODAL,LinModEigen,Mode,6,Y,2E-06,2,0,6.446,39.8
Story15,MODAL,LinModEigen,Mode,7,X,1E-06,15,27.834,0,39.8
Story15,MODAL,LinModEigen,Mode,8,Y,1E-06,2,0,6.446,39.8
Story15,MODAL,LinModEigen,Mode,9,X,1E-06,53,25.115,13.821,39.8
Story15,MODAL,LinModEigen,Mode,9,Y,1E-06,2,0,6.446,39.8
Story15,MODAL,LinModEigen,Mode,10,X,1E-06,15,27.834,0,39.8
Story15,MODAL,LinModEigen,Mode,11,Y,1E-06,2,0,6.446,39.8
Story15,MODAL,LinModEigen,Mode,12,X,1E-06,53,25.115,13.821,39.8
Story15,PP,LinStatic,None,None,Y,9.8E-05,2,0,6.446,39.8
Story15,TERP,LinStatic,None,None,Y,2.2E-05,2,0,6.446,39.8
Story15,TERT,LinStatic,None,None,Y,1E-06,2,0,6.446,39.8
Story15,SCP,LinStatic,None,None,Y,4E-05,2,0,6.446,39.8
Story15,SCT,LinStatic,None,None,Y,1E-06,2,0,6.446,39.8
Story15,SEx,LinRespSpec,Max,None,X,0.000996,15,27.834,0,39.8
Story15,SEx,LinRespSpec,Max,None,Y,0.000939,22,38.505,13.821,39.8
Story15,SEy,LinRespSpec,Max,None,X,0.000177,53,25.115,13.821,39.8
Story15,SEy,LinRespSpec,Max,None,Y,0.001348,2,0,6.446,39.8
Story15,SEx_b2,LinRespSpec,Max,None,X,0.000955,15,27.834,0,39.8
Story15,SEx_b2,LinRespSpec,Max,None,Y,0.000843,22,38.505,13.821,39.8
Story15,SEy_b2,LinRespSpec,Max,None,Y,0.001062,2,0,6.446,39.8
Story15,ED1_C1_1.4CP,Combination,None,None,Y,0.00017,2,0,6.446,39.8
Story15,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,Y,0.000211,2,0,6.446,39.8
Story15,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,Y,0.000188,2,0,6.446,39.8
